,Zip_Code,Council_District,Total_Units,Total_Affordable_Units,Total_Accessible_Units,Total_Permanent_Support,Unit_Type,Tenure,Status,Affordability_Start_Year,Affordability_Expiration_Year,Affordability_Period,Units_Under_50_Percent_MFI,Market_Rate_Units,Voluntary,City_Amount
0,78704,5,40,40.0,6.0,0.0,Multifamily,Rental,7. Project Completed,2013,2112,99,36,0,No,675000.0
1,78702,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2009,2108,99,1,0,No,95416.66
2,78722,1,6,6.0,2.0,0.0,Multifamily,Rental,7. Project Completed,2009,2019,10,0,0,No,197142.85
3,78757,7,10,10.0,0.0,0.0,Multifamily,Rental,7. Project Completed,2007,2047,40,10,0,No,500000.0
4,78702,1,130,130.0,16.0,0.0,Multifamily,Rental,7. Project Completed,2010,2109,99,130,0,No,2500000.0
5,78722,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2003,2023,20,1,0,No,36666.67
6,78745,5,22,22.0,0.0,0.0,Multifamily,Rental,7. Project Completed,2008,2107,99,22,0,No,1805294.0
7,78702,1,2,2.0,0.0,0.0,Duplex,Rental,7. Project Completed,2009,2108,99,1,0,No,190833.33
8,78722,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2003,2023,20,1,0,No,36666.67
9,78756,10,21,21.0,2.0,0.0,Multifamily,Rental,8. Affordability Period Expired,2006,2016,10,21,0,No,250000.0
10,78722,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2003,2023,20,0,0,No,36666.67
11,78741,3,70,68.0,9.0,0.0,Multifamily,Rental,7. Project Completed,2011,2031,20,0,0,No,299000.0
12,78722,1,2,2.0,0.0,0.0,Duplex,Rental,7. Project Completed,2003,2023,20,0,0,No,73333.33
13,78722,1,2,2.0,0.0,0.0,Duplex,Rental,7. Project Completed,2003,2023,20,1,0,No,73333.34
14,78744,2,3,3.0,0.0,0.0,Single Family,Rental,7. Project Completed,2007,2027,20,3,0,No,50000.0
15,78744,2,3,3.0,0.0,0.0,Single Family,Rental,7. Project Completed,2007,2027,20,3,0,No,50000.0
16,78723,1,4,4.0,0.0,0.0,FourPlex,Rental,7. Project Completed,2009,2108,99,4,0,No,19789.5
17,78704,5,47,47.0,7.0,0.0,Multifamily,Rental,7. Project Completed,2009,2110,99,47,0,No,1350000.0
18,78723,1,4,4.0,3.0,8.0,FourPlex,Rental,7. Project Completed,2012,2111,99,4,0,No,223140.0
19,78723,1,4,4.0,0.0,0.0,FourPlex,Rental,7. Project Completed,2012,2111,99,4,0,No,223140.0
20,78723,1,11,11.0,12.0,0.0,Multifamily,Rental,7. Project Completed,2001,2021,20,11,0,No,260960.0
21,78702,1,2,2.0,2.0,0.0,Duplex,Rental,7. Project Completed,2008,2048,40,2,0,No,125000.0
22,78723,1,46,46.0,6.0,0.0,Multifamily,Rental,7. Project Completed,2009,2108,99,35,0,No,2000000.0
